                  10,00000000,ffffffff
                  20,00000001,7f7f7f7f
                  30,00000001,00000002
                  40,ffffffff,00000020
                  50,7fffffff,00000200
                  60,80000000,00002000
                  70,01010101,0000001a
                  80,77777777,00000019
                  90,8fffffff,00000018
                 100,0fffffff,13579bdf
                 110,12341234,02468ace
                 120,43214321,89abcdef
                 130,12345678,01234567
                 140,87654321,abcddcba
                 150,80808080,f7f7f7f7
                 160,88888888,7f7f7f7f
                 170,7f7f7f7f,88888888
                 180,f7f7f7f7,80808080
                 190,abcddcba,87654321
                 200,01234567,12345678
                 210,89abcdef,43214321
                 220,02468ace,12341234
                 230,13579bdf,0fffffff
                 240,00000018,8fffffff
                 250,00000019,77777777
                 260,0000001a,01010101
                 270,00002000,80000000
                 280,00000200,7fffffff
                 290,00000020,ffffffff
                 300,00000002,00000001
                 310,7f7f7f7f,00000001
                 320,ffffffff,00000000
